layer,feature_idx,mean_A_hold,mean_B_hold,mean_C_hold,t_AvB_hold,p_AvB_hold,t_AvC_hold,p_AvC_hold,t_BvC_hold,p_BvC_hold,pattern
18,45449,0.0,0.0,2.5791411,,,-2.276140242636018,0.04886996898076541,-2.276140242636018,0.04886996898076541,INVERSE
18,53227,0.49578875,5.6732435,1.7221997,-2.448108257625275,0.03427280385636162,-1.2149843169600643,0.24419202101343743,1.7669602052554534,0.10224817612815663,INVERSE
18,8227,0.0,1.3252451,0.0,-1.4478754340152598,0.18157413182001544,,,1.4478754340152598,0.18157413182001544,WEAK
18,14856,46.92021,42.542423,46.04255,2.521734108542813,0.021922360574348137,0.4811397474064839,0.6367631451902519,-1.7406807661469237,0.09890853490798496,PARTIAL
18,63826,0.0,7.162717,0.0,-2.801639414354794,0.02065723621871525,,,2.801639414354794,0.02065723621871525,INVERSE
20,31666,56.49597,3.1465662,2.4333262,13.70850027467618,1.985608266829892e-10,15.899263189537477,2.0645809103888394e-09,0.2707939082586272,0.79044346120465,SCOPE_SPECIFIC
20,38832,17.966312,0.59499156,0.7298733,10.33284165880039,3.569751355533106e-07,9.943095243496531,2.341447461459898e-07,-0.1432377355630645,0.887757831329612,SCOPE_SPECIFIC
20,55807,8.39595,0.0,0.0,3.877958932276326,0.003743036924126107,3.877958932276326,0.003743036924126107,,,SCOPE_SPECIFIC
20,34355,1.5331386,5.51635,1.1391405,-1.9258468795556196,0.0735675775884555,0.25222012443091807,0.8037398743242343,2.0789970813065572,0.05476665611818602,WEAK
20,14933,6.285242,0.0,0.0,2.8823233060191407,0.01810933370562118,2.8823233060191407,0.01810933370562118,,,SCOPE_SPECIFIC
20,14185,9.440837,0.0,0.0,2.4643409814318247,0.035902052004912234,2.4643409814318247,0.035902052004912234,,,SCOPE_SPECIFIC
20,39918,1.2419828,3.2042096,7.954828,-1.2288665610835883,0.23807317087350838,-3.1766475019183407,0.007787611574905043,-2.0057850033563644,0.06196317883951462,INVERSE
20,14523,9.15712,3.7367053,0.0,2.4444773649904135,0.025186212617408336,6.218741423929345,0.00015533491176324092,2.2538711021099718,0.05068167938894515,SCOPE_SPECIFIC
20,49275,0.68973464,21.510227,0.5452074,-5.771807183745854,0.00020347047520246343,0.16438576549129752,0.8713561826506144,5.852146326070405,0.00020306899588105816,INVERSE
20,51359,0.0,5.656913,0.85153055,-2.590611881029922,0.029184168449356986,-1.00000000127466,0.34343639555378574,2.050270670649841,0.06348434126399449,INVERSE
20,44055,42.669067,18.09636,39.517525,5.420166206690134,0.0001407657152486507,0.8851054080617291,0.3903913734270966,-4.152583932879274,0.0007017007918082097,PARTIAL
20,9817,0.0,5.693312,1.3217745,-2.874800136779832,0.018332706189665433,-1.4598119731332797,0.17834780087482252,2.007513879877471,0.0666263367568348,INVERSE
20,6626,1.1675041,5.245875,11.015607,-2.140603463822388,0.047141297277961486,-4.176329079871959,0.000894612175553789,-2.2693075628495083,0.036957408154077644,INVERSE
20,35307,0.0,0.0,4.5344715,,,-2.438720672466714,0.03744312730250121,-2.438720672466714,0.03744312730250121,INVERSE
20,8351,16.248745,2.1489382,13.559614,6.131621649751624,2.4601293086863038e-05,0.9625738753402381,0.34852627741597253,-5.073439235196138,0.00015478905742869628,PARTIAL
20,25710,0.0,12.987928,0.61546147,-3.4438949139357957,0.00734518311370565,-1.0000000398672682,0.3434363778682813,3.2378645733561613,0.009530754658462905,INVERSE
20,20119,0.0,8.258596,0.0,-2.978058759583837,0.015498336039603357,,,2.978058759583837,0.015498336039603357,INVERSE
20,60159,0.0,8.155424,0.0,-3.8444802610175537,0.00393943080985247,,,3.8444802610175537,0.00393943080985247,INVERSE
20,37580,0.56185603,0.0,0.0,0.999999959268275,0.343436414803694,0.999999959268275,0.343436414803694,,,WEAK
20,53661,0.0,0.48907518,4.7021303,-0.999999965242182,0.34343641206608255,-2.967733571345869,0.015760318539925936,-2.5407642832713395,0.02796737043476475,INVERSE
22,6415,62.32295,4.342324,1.8424976,14.111542911710856,8.556519891857425e-11,17.34814671944648,1.0848602871688372e-09,0.8878539766588024,0.39041920713550826,SCOPE_SPECIFIC
22,17524,25.792377,0.0,0.8968743,5.860365983456129,0.00024063178581588653,5.542670133391099,0.0002705282654965019,-1.0000000221170249,0.34343638600253334,SCOPE_SPECIFIC
22,43273,17.60521,0.0,0.0,4.4220220353920805,0.0016662972888001062,4.4220220353920805,0.0016662972888001062,,,SCOPE_SPECIFIC
